(base) sachinsabariram@Sachins-MacBook-Air task-7 % python script.py
Successfully loaded data from ./employee_data.csv into task7_db.Employees

mysql> source /Users/sachinsabariram/Desktop/Presedio/Presedio-PreInternship/SQL/task-7/query.sql

+------------+-----------+----------+------------+------------+-------------------+----------------+-----------------------------+--------------+----------------+--------------+---------+----------------------------+-----------------+-------------------------------+----------------------+---------------------+------------+-------+-------------+--------+----------+---------------+---------------+------------------+-----------------------+
| EmployeeID | FirstName | LastName | StartDate  | ExitDate   | Title             | Supervisor     | Email                       | BusinessUnit | EmployeeStatus | EmployeeType | PayZone | EmployeeClassificationType | TerminationType | TerminationDescription        | DepartmentType       | DivisionDescription | DOB        | State | JobFunction | Gender | Location | RaceEthnicity | MaritalStatus | PerformanceScore | CurrentEmployeeRating |
+------------+-----------+----------+------------+------------+-------------------+----------------+-----------------------------+--------------+----------------+--------------+---------+----------------------------+-----------------+-------------------------------+----------------------+---------------------+------------+-------+-------------+--------+----------+---------------+---------------+------------------+-----------------------+
|       1001 | Susan     | Exantus  | 2019-08-29 | NULL       | Software Engineer | Angela Carlson | susan.exantus@bilearner.com | BPC          | Active         | Part-Time    | Zone A  | Part-Time                  | Unk             | NULL                          | Software Engineering | Engineers           | 1957-09-21 | MA    | Engineer    | Female | 1749     | Black         | Married       | Fully Meets      | 3                     |
|       1002 | Sandra    | Martin   | 2022-12-12 | 2023-05-28 | Software Engineer | Angela Hayes   | sandra.martin@bilearner.com | NEL          | Active         | Part-Time    | Zone A  | Temporary                  | Involuntary     | Behind buy our of very claim. | Software Engineering | Catv                | 1950-07-08 | MA    | Foreman     | Female | 2135     | Asian         | Widowed       | Fully Meets      | 3                     |
+------------+-----------+----------+------------+------------+-------------------+----------------+-----------------------------+--------------+----------------+--------------+---------+----------------------------+-----------------+-------------------------------+----------------------+---------------------+------------+-------+-------------+--------+----------+---------------+---------------+------------------+-----------------------+
2 rows in set (0.00 sec)

+------------+------------+-------------+--------------+-----------------------+------------+
| EmployeeID | FirstName  | LastName    | BusinessUnit | CurrentEmployeeRating | RatingRank |
+------------+------------+-------------+--------------+-----------------------+------------+
|       3794 | Ayden      | Chambers    | BPC          | 5                     |          1 |
|       3051 | Briley     | Huerta      | BPC          | 5                     |          1 |
|       3162 | Camryn     | Clark       | BPC          | 5                     |          1 |
|       2470 | Cesar      | Hunter      | BPC          | 5                     |          1 |
|       3539 | Chaz       | Bruce       | BPC          | 5                     |          1 |
|       2858 | Colin      | Simpson     | BPC          | 5                     |          1 |
|       2439 | Cordell    | Vazquez     | BPC          | 5                     |          1 |
|       3164 | Danielle   | Blanchard   | BPC          | 5                     |          1 |
|       3561 | Dianna     | Blount      | BPC          | 5                     |          1 |
|       2749 | Elizabeth  | Meads       | BPC          | 5                     |          1 |
|       3633 | Emma       | Ware        | BPC          | 5                     |          1 |
|       2538 | Isaias     | Pineda      | BPC          | 5                     |          1 |
|       2589 | Jabari     | Frank       | BPC          | 5                     |          1 |
|       2310 | Jade       | Sloan       | BPC          | 5                     |          1 |
|       3350 | Jalen      | Richmond    | BPC          | 5                     |          1 |
|       3129 | Jayda      | Chapman     | BPC          | 5                     |          1 |
|       3279 | Jonas      | Everett     | BPC          | 5                     |          1 |
|       3436 | Joseph     | Martins     | BPC          | 5                     |          1 |
|       3601 | Keagan     | Henson      | BPC          | 5                     |          1 |
|       2684 | Kendrick   | Pollard     | BPC          | 5                     |          1 |
|       2832 | Lilyana    | Huffman     | BPC          | 5                     |          1 |
|       3039 | Marquis    | Johns       | BPC          | 5                     |          1 |
|       2523 | Maximilian | Williamson  | BPC          | 5                     |          1 |
|       2922 | Miles      | Roberts     | BPC          | 5                     |          1 |
|       2746 | Misael     | Pratt       | BPC          | 5                     |          1 |
|       2846 | Natalia    | Bush        | BPC          | 5                     |          1 |
|       2098 | Phillip    | Fuentes     | BPC          | 5                     |          1 |
|       3174 | Roy        | Pratt       | BPC          | 5                     |          1 |
|       2122 | Tia        | Kent        | BPC          | 5                     |          1 |
|       2771 | Tia        | Potter      | BPC          | 5                     |          1 |
|       2181 | Trevin     | Lambert     | BPC          | 5                     |          1 |
